Consommation (MW),TMoy (°C),TMin (°C),TMax (°C)
2581916.0,6.821666666666666,3.095,10.549166666666666
3303237.0,0.6233333333333334,-2.7100000000000004,3.9575
2702491.0,8.094166666666666,5.896666666666667,10.2875
2805931.0,6.689166666666666,5.215833333333333,8.164166666666667
2917733.0,4.013333333333333,0.8091666666666666,7.2175
3070794.0,1.9466666666666665,-0.6433333333333334,4.5375000000000005
2965694.0,11.7875,10.244166666666667,13.331666666666665
3171551.0,9.748333333333333,6.611666666666667,12.887500000000001
3370259.0,5.255833333333333,2.7283333333333335,7.78
3549292.0,5.4799999999999995,2.8208333333333333,8.140833333333333
2672265.0,11.465833333333334,8.909166666666666,14.025
3026147.0,9.538333333333332,7.7525,11.324166666666665
3436673.0,5.123333333333334,0.09500000000000008,10.153333333333334
3240128.0,8.1525,4.4075,11.896666666666667
4059942.0,1.7183333333333335,-2.7841666666666662,6.220833333333334
2847399.0,9.870833333333334,7.495833333333334,12.244166666666667
2734714.0,8.3475,5.060833333333334,11.636666666666665
2820203.0,8.435833333333333,1.5091666666666665,15.363333333333332
2922900.0,7.701666666666667,3.6266666666666665,11.780000000000001
2255307.0,11.384166666666667,8.180833333333334,14.586666666666666
2633139.0,8.106666666666667,3.9783333333333335,12.235
2504206.0,12.568333333333333,5.7058333333333335,19.43166666666667
2514418.0,7.374166666666667,1.1791666666666665,13.571666666666667
2295947.0,15.679166666666667,7.6625000000000005,23.69666666666667
2346996.0,8.3175,2.766666666666667,13.869166666666667
2219801.0,10.428333333333333,5.97,14.886666666666665
2198222.0,9.4,4.57,14.2325
2062359.0,12.485833333333334,5.954166666666667,19.018333333333334
1908457.0,12.840833333333334,9.158333333333333,16.523333333333333
2168152.0,9.318333333333333,5.5424999999999995,13.090833333333334
2333162.0,14.847500000000002,12.219166666666666,17.478333333333335
2296519.0,20.011666666666667,13.235,26.789166666666663
2242293.0,18.147499999999997,14.081666666666665,22.218333333333334
1955844.0,19.913333333333334,11.375,28.453333333333333
1794895.0,18.8625,11.649166666666666,26.076666666666668
2158706.0,19.038333333333334,11.781666666666666,26.295833333333334
2286787.0,19.8125,15.541666666666666,24.0825
1998032.0,16.345,13.089166666666666,19.598333333333333
1956519.0,24.763333333333335,18.044166666666666,31.484166666666667
2303902.0,21.579166666666666,16.6925,26.46666666666667
2202475.0,20.479166666666668,15.975,24.981666666666666
2208905.0,18.511666666666667,12.754166666666668,24.271666666666665
2052818.0,18.641666666666666,12.509166666666665,24.775833333333335
2163188.0,21.478333333333335,15.948333333333332,27.006666666666664
2282965.0,23.241666666666664,17.024166666666666,29.459999999999997
2145498.0,19.6525,12.995833333333332,26.30666666666667
1984479.0,23.926666666666666,18.357499999999998,29.497500000000002
1762408.0,17.555,12.949166666666665,22.161666666666665
2331397.0,20.904166666666665,13.89,27.9175
2222675.0,16.036666666666665,10.836666666666666,21.234166666666667
1973250.0,17.4525,10.831666666666665,24.07166666666667
1883774.0,19.018333333333334,14.6975,23.339166666666667
2162795.0,16.1975,10.095,22.301666666666666
2228296.0,18.49833333333333,12.844166666666666,24.153333333333332
2036959.0,15.6475,12.424999999999999,18.86916666666667
1981652.0,14.598333333333334,11.265,17.9325
2309451.0,12.821666666666667,9.323333333333332,16.32
2279302.0,17.5725,13.245,21.900000000000002
2358844.0,14.059166666666668,10.7025,17.416666666666668
2289881.0,13.756666666666668,8.003333333333332,19.510833333333334
2355034.0,10.9,4.933333333333334,16.86916666666667
2509458.0,9.608333333333333,3.1783333333333332,16.035833333333333
2581080.0,10.509166666666667,7.5,13.519166666666665
2276035.0,13.395000000000001,10.370833333333334,16.418333333333333
2147577.0,14.733333333333334,10.725,18.7425
2244148.0,11.839166666666666,8.914166666666667,14.760833333333332
3538592.0,3.1483333333333334,-2.375,8.669166666666667
3643904.0,2.1341666666666668,-0.105,4.3741666666666665
2813441.0,8.86,5.0375000000000005,12.681666666666667
2829333.0,6.034166666666667,4.426666666666667,7.640833333333333
3249710.0,5.339166666666667,2.0325,8.646666666666667
2663018.0,8.588333333333333,6.605,10.568333333333333
3529932.0,2.3008333333333333,0.007500000000000007,4.593333333333333
3028933.0,9.4525,5.464166666666667,13.438333333333333
3174502.0,5.461666666666666,3.435,7.489999999999999
3118401.0,6.245,3.111666666666667,9.379166666666666
3282874.0,1.0883333333333332,-1.5866666666666667,3.7675
3025766.0,10.278333333333334,7.984166666666667,12.573333333333332
3159116.0,10.173333333333334,6.885000000000001,13.461666666666666
3479579.0,3.7325,0.4658333333333333,7.0008333333333335
3327991.0,4.118333333333333,2.3633333333333333,5.873333333333334
2528141.0,12.253333333333332,9.231666666666667,15.275833333333333
2961937.0,10.925833333333335,7.41,14.44
3283680.0,7.458333333333333,3.8608333333333333,11.055
3071436.0,8.98,4.9425,13.015
3690374.0,5.398333333333333,1.8825,8.915833333333333
2623076.0,9.991666666666667,6.479166666666667,13.500833333333333
3117298.0,7.221666666666667,4.645833333333333,9.796666666666667
2833375.0,9.545,2.8208333333333333,16.268333333333334
2650313.0,8.647499999999999,3.7399999999999998,13.555
2195568.0,11.060833333333333,6.448333333333333,15.674166666666666
2578209.0,10.616666666666667,5.552499999999999,15.681666666666667
2591176.0,11.159999999999998,6.6433333333333335,15.679166666666667
2492959.0,6.952500000000001,0.7958333333333333,13.108333333333334
2272848.0,12.395000000000001,7.3675,17.419999999999998
2578876.0,11.033333333333333,4.201666666666667,17.86916666666667
2580472.0,10.907499999999999,6.183333333333334,15.630833333333333
2515488.0,10.188333333333333,4.44,15.9325
2392375.0,12.0,8.099166666666667,15.9
1913171.0,13.334166666666667,9.555833333333334,17.11
2174849.0,8.879166666666666,3.19,14.569166666666668
2357929.0,14.606666666666667,12.628333333333332,16.584166666666665
2276424.0,20.765,14.415833333333333,27.11583333333333
1977700.0,18.604166666666668,12.823333333333332,24.38416666666667
1849918.0,21.439999999999998,13.723333333333334,29.155833333333334
2058931.0,20.03833333333333,12.487499999999999,27.588333333333335
2172305.0,19.308333333333334,14.558333333333332,24.060833333333335
2005024.0,17.6025,13.972499999999998,21.235833333333332
1876909.0,17.346666666666668,12.934166666666668,21.75916666666667
2296077.0,23.198333333333334,17.650833333333335,28.74416666666667
2332127.0,20.479166666666668,14.185833333333333,26.772499999999997
2192902.0,19.110833333333336,15.375833333333333,22.8475
2206076.0,19.649166666666666,13.145000000000001,26.1525
2106744.0,19.8675,15.169166666666667,24.563333333333333
2186156.0,22.337500000000002,15.518333333333333,29.155833333333334
2299005.0,24.296666666666667,16.598333333333333,31.992499999999996
2121476.0,21.194166666666668,14.603333333333333,27.784166666666668
1817735.0,20.8775,16.5475,25.2075
1963783.0,17.918333333333333,13.021666666666667,22.8175
2315507.0,20.785,13.031666666666666,28.540000000000003
1976266.0,15.800000000000002,10.7975,20.8025
1861526.0,17.449166666666667,10.086666666666666,24.810000000000002
2165720.0,17.2475,11.118333333333334,23.378333333333334
2168093.0,16.485,9.551666666666668,23.421666666666667
2228827.0,19.296666666666667,12.849166666666667,25.745833333333334
1927668.0,14.12,9.6725,18.565833333333334
2328482.0,17.033333333333335,13.995833333333332,20.070833333333333
2430318.0,11.536666666666667,6.204166666666667,16.866666666666667
2298403.0,14.928333333333333,12.0675,17.790833333333335
2409947.0,12.554166666666667,9.940833333333332,15.17
2061839.0,15.806666666666667,11.088333333333333,20.525833333333335
2707381.0,9.9825,6.166666666666667,13.795
2696521.0,11.616666666666667,6.4725,16.75916666666667
2720599.0,8.971666666666666,4.833333333333333,13.112499999999999
2224342.0,13.586666666666666,11.530000000000001,15.645000000000001
2386870.0,15.636666666666665,11.748333333333333,19.521666666666665
2629891.0,9.990833333333333,6.672499999999999,13.3075
3527380.0,3.2191666666666667,-1.1758333333333333,7.616666666666667
3481288.0,1.3099999999999998,-0.9874999999999999,3.605
2600142.0,11.470833333333333,9.126666666666667,13.813333333333333
3282607.0,4.6725,1.7941666666666667,7.551666666666667
3269561.0,5.395833333333333,3.323333333333333,7.470833333333334
2725357.0,6.934166666666666,4.6775,9.190833333333332
3766389.0,0.9916666666666667,-1.3925,3.375833333333333
3060532.0,10.5925,7.539166666666667,13.645000000000001
3476633.0,2.7983333333333333,-0.5533333333333335,6.150833333333334
3063858.0,8.005833333333333,5.015833333333333,10.995833333333332
3242662.0,2.1108333333333333,0.34833333333333333,3.8725
3180460.0,7.0125,4.460833333333333,9.561666666666667
3187647.0,8.205,5.390833333333333,11.0175
3242636.0,3.841666666666667,1.2408333333333335,6.440833333333333
3298144.0,3.6025000000000005,0.7433333333333333,6.46
2803118.0,13.014166666666666,10.003333333333334,16.0275
2938343.0,10.9125,8.326666666666666,13.498333333333333
3357204.0,6.475833333333334,3.5825,9.368333333333334
2983500.0,10.100833333333334,4.911666666666666,15.286666666666667
3213039.0,6.570833333333333,1.3675,11.775833333333333
2492951.0,11.57,7.036666666666666,16.104166666666668
3253393.0,5.8133333333333335,2.3716666666666666,9.254166666666666
2799493.0,10.084999999999999,4.935833333333334,15.2325
2332944.0,13.430833333333334,8.480833333333333,18.381666666666664
2492510.0,11.986666666666666,4.885833333333333,19.088333333333335
2773408.0,12.794166666666667,9.3825,16.205833333333334
