Région,Consommation (MW),TMoy (°C),TMin (°C),TMax (°C)
Occitanie,178815.0,15.94,11.54,20.34
Auvergne-Rhône-Alpes,332823.0,17.71,13.05,22.37
Provence-Alpes-Côte d'Azur,196938.0,18.63,14.28,22.98
Île-de-France,368484.0,13.0,4.98,21.02
Centre-Val de Loire,94022.0,13.11,3.77,22.45
Bourgogne-Franche-Comté,118452.0,12.75,2.53,22.97
Normandie,146477.0,11.89,4.44,19.34
Hauts-de-France,272467.0,11.23,3.26,19.2
Grand Est,250845.0,11.35,0.98,21.72
Pays de la Loire,140745.0,14.62,7.2,22.05
Bretagne,108676.0,13.77,7.02,20.52
Nouvelle-Aquitaine,211418.0,15.2,9.48,20.92
Occitanie,178586.0,15.01,10.2,19.83
Auvergne-Rhône-Alpes,357632.0,12.31,3.71,20.92
Provence-Alpes-Côte d'Azur,198524.0,14.88,9.88,19.87
Île-de-France,285624.0,14.14,10.72,17.56
Centre-Val de Loire,70356.0,13.74,9.4,18.08
Bourgogne-Franche-Comté,88974.0,14.54,11.77,17.32
Normandie,113960.0,11.71,8.16,15.26
Hauts-de-France,215425.0,11.95,8.6,15.3
Grand Est,197653.0,13.57,10.65,16.49
Pays de la Loire,108311.0,14.48,10.25,18.7
Bretagne,88477.0,11.0,6.18,15.82
Nouvelle-Aquitaine,183078.0,14.07,10.09,18.05
Occitanie,157847.0,15.37,11.3,19.44
Auvergne-Rhône-Alpes,285323.0,13.8,11.84,15.75
Provence-Alpes-Côte d'Azur,176731.0,17.68,13.05,22.32
Île-de-France,370984.0,12.83,8.72,16.94
Centre-Val de Loire,97158.0,11.66,6.27,17.05
Bourgogne-Franche-Comté,117780.0,13.52,8.58,18.45
Normandie,154572.0,9.53,4.32,14.74
Hauts-de-France,270278.0,10.81,5.74,15.88
Grand Est,250281.0,11.85,6.32,17.38
Pays de la Loire,149233.0,10.73,6.8,14.65
Bretagne,126055.0,9.56,5.6,13.52
Nouvelle-Aquitaine,221967.0,15.48,10.11,20.86
Occitanie,181489.0,17.08,11.07,23.08
Auvergne-Rhône-Alpes,341786.0,14.65,8.74,20.56
Provence-Alpes-Côte d'Azur,194810.0,16.02,10.27,21.77
Île-de-France,258493.0,18.5,14.06,22.94
Centre-Val de Loire,64375.0,18.32,13.82,22.82
Bourgogne-Franche-Comté,77743.0,18.95,13.63,24.27
Normandie,104402.0,15.93,12.62,19.24
Hauts-de-France,199303.0,15.47,11.82,19.12
Grand Est,165175.0,19.15,13.52,24.78
Pays de la Loire,96373.0,18.7,14.65,22.75
Bretagne,79191.0,15.91,12.3,19.52
Nouvelle-Aquitaine,156845.0,16.77,14.54,19.0
Occitanie,141513.0,15.88,13.91,17.85
Auvergne-Rhône-Alpes,240938.0,16.71,12.42,21.0
Provence-Alpes-Côte d'Azur,157869.0,16.41,13.48,19.33
Île-de-France,314168.0,15.93,12.02,19.84
Centre-Val de Loire,80636.0,14.8,10.75,18.85
Bourgogne-Franche-Comté,106841.0,13.39,11.78,15.0
Normandie,127767.0,13.97,9.98,17.96
Hauts-de-France,244697.0,15.45,12.16,18.74
Grand Est,203492.0,14.82,12.52,17.12
Pays de la Loire,123379.0,14.8,11.5,18.1
Bretagne,111334.0,13.21,10.3,16.12
Nouvelle-Aquitaine,195751.0,14.58,9.86,19.3
Occitanie,170382.0,15.43,12.04,18.82
Auvergne-Rhône-Alpes,319444.0,13.3,11.45,15.14
Provence-Alpes-Côte d'Azur,193480.0,15.85,14.2,17.5
Île-de-France,329283.0,18.54,13.44,23.64
Centre-Val de Loire,81171.0,17.23,11.82,22.63
Bourgogne-Franche-Comté,100885.0,18.04,11.27,24.82
Normandie,124643.0,16.83,12.18,21.48
Hauts-de-France,250908.0,16.15,10.26,22.04
Grand Est,222764.0,17.03,10.04,24.01
Pays de la Loire,124999.0,19.12,15.65,22.6
Bretagne,101949.0,17.81,15.72,19.9
Nouvelle-Aquitaine,197249.0,18.71,16.57,20.86
Occitanie,168456.0,19.89,15.64,24.14
Auvergne-Rhône-Alpes,315405.0,17.5,11.02,23.97
Provence-Alpes-Côte d'Azur,186079.0,20.5,14.77,26.23
Île-de-France,293668.0,20.25,13.48,27.02
Centre-Val de Loire,71963.0,19.26,11.0,27.52
Bourgogne-Franche-Comté,88132.0,19.82,12.82,26.82
Normandie,117088.0,19.08,12.58,25.58
Hauts-de-France,225271.0,18.29,11.54,25.04
Grand Est,199626.0,17.87,9.94,25.8
Pays de la Loire,106518.0,19.45,11.55,27.35
Bretagne,85498.0,18.41,13.65,23.17
Nouvelle-Aquitaine,181191.0,21.56,13.59,29.52
Occitanie,162169.0,23.21,15.45,30.97
Auvergne-Rhône-Alpes,285358.0,21.08,14.63,27.53
Provence-Alpes-Côte d'Azur,186267.0,22.19,15.2,29.18
Île-de-France,286208.0,20.61,16.18,25.04
Centre-Val de Loire,70706.0,20.72,15.35,26.08
Bourgogne-Franche-Comté,82084.0,21.18,15.0,27.35
Normandie,107035.0,18.04,14.3,21.78
Hauts-de-France,207767.0,17.99,13.74,22.24
Grand Est,184230.0,21.82,15.84,27.81
Pays de la Loire,98069.0,20.25,15.3,25.2
Bretagne,78954.0,17.54,14.58,20.5
Nouvelle-Aquitaine,166078.0,19.62,15.8,23.43
Occitanie,147691.0,20.41,17.05,23.76
Auvergne-Rhône-Alpes,272893.0,21.71,16.08,27.35
Provence-Alpes-Côte d'Azur,172954.0,21.79,15.9,27.68
Île-de-France,285985.0,15.14,11.96,18.32
Centre-Val de Loire,76676.0,15.13,11.63,18.63
Bourgogne-Franche-Comté,88885.0,15.11,12.48,17.73
Normandie,119867.0,12.63,10.52,14.74
Hauts-de-France,218597.0,15.15,11.96,18.34
Grand Est,184531.0,15.7,11.48,19.92
Pays de la Loire,102566.0,13.78,10.05,17.5
Bretagne,87761.0,12.04,7.88,16.2
Nouvelle-Aquitaine,176549.0,14.7,11.17,18.23
Occitanie,149986.0,16.52,13.55,19.48
Auvergne-Rhône-Alpes,279776.0,14.67,12.25,17.08
Provence-Alpes-Côte d'Azur,179031.0,21.83,16.68,26.97
Île-de-France,304962.0,14.84,9.04,20.64
Centre-Val de Loire,81848.0,13.19,6.03,20.35
Bourgogne-Franche-Comté,103588.0,15.21,10.5,19.92
Normandie,125639.0,11.93,7.1,16.76
Hauts-de-France,225306.0,12.61,6.2,19.02
Grand Est,216674.0,15.1,11.52,18.68
Pays de la Loire,126194.0,14.35,10.15,18.55
Bretagne,104267.0,12.66,10.5,14.82
Nouvelle-Aquitaine,201356.0,15.23,10.64,19.82
Occitanie,167461.0,16.42,11.25,21.59
Auvergne-Rhône-Alpes,313768.0,14.15,10.49,17.82
Provence-Alpes-Côte d'Azur,177907.0,17.52,13.0,22.03
Île-de-France,314323.0,22.05,16.66,27.44
Centre-Val de Loire,82518.0,20.83,13.42,28.25
Bourgogne-Franche-Comté,104073.0,20.08,12.65,27.52
Normandie,129295.0,17.56,11.9,23.22
Hauts-de-France,242486.0,17.56,12.56,22.56
Grand Est,225206.0,19.89,12.71,27.08
Pays de la Loire,123696.0,20.6,14.6,26.6
Bretagne,106834.0,18.12,13.85,22.4
Nouvelle-Aquitaine,193793.0,20.98,14.34,27.63
Occitanie,177360.0,23.08,16.3,29.86
Auvergne-Rhône-Alpes,316169.0,19.47,12.23,26.72
Provence-Alpes-Côte d'Azur,196133.0,22.94,17.45,28.43
Île-de-France,281619.0,24.05,17.56,30.54
Centre-Val de Loire,71379.0,22.06,13.87,30.25
Bourgogne-Franche-Comté,82855.0,23.78,15.2,32.35
Normandie,111244.0,19.56,14.76,24.36
Hauts-de-France,205819.0,20.77,15.66,25.88
Grand Est,182501.0,23.27,14.51,32.03
Pays de la Loire,97357.0,19.48,13.1,25.85
Bretagne,77618.0,18.3,15.32,21.28
Nouvelle-Aquitaine,187724.0,22.22,15.87,28.58
Occitanie,172398.0,25.23,17.53,32.94
Auvergne-Rhône-Alpes,281553.0,24.72,15.83,33.62
Provence-Alpes-Côte d'Azur,199893.0,25.83,20.0,31.67
Île-de-France,320793.0,19.56,16.34,22.78
Centre-Val de Loire,85285.0,19.59,16.17,23.02
Bourgogne-Franche-Comté,104745.0,20.63,16.32,24.95
Normandie,129097.0,18.63,15.04,22.22
Hauts-de-France,243052.0,18.42,15.72,21.12
Grand Est,223378.0,20.81,17.65,23.96
Pays de la Loire,129202.0,20.38,16.6,24.15
Bretagne,99686.0,17.92,13.55,22.3
Nouvelle-Aquitaine,204492.0,19.93,17.37,22.49
Occitanie,179326.0,21.48,17.66,25.3
Auvergne-Rhône-Alpes,327256.0,21.74,16.48,27.0
Provence-Alpes-Côte d'Azur,210290.0,24.32,18.2,30.43
Île-de-France,324611.0,19.41,16.34,22.48
Centre-Val de Loire,87397.0,20.06,14.05,26.07
Bourgogne-Franche-Comté,108419.0,20.18,14.6,25.75
Normandie,130120.0,18.72,15.3,22.14
Hauts-de-France,245308.0,16.6,13.82,19.38
Grand Est,229468.0,18.64,14.84,22.45
Pays de la Loire,135493.0,22.65,17.15,28.15
Bretagne,104382.0,20.3,14.38,26.22
Nouvelle-Aquitaine,221316.0,22.85,17.39,28.32
Occitanie,197958.0,24.25,18.0,30.49
Auvergne-Rhône-Alpes,343457.0,20.95,14.35,27.54
Provence-Alpes-Côte d'Azur,213505.0,25.23,19.33,31.13
Île-de-France,316677.0,20.48,13.64,27.32
Centre-Val de Loire,93484.0,20.18,11.77,28.58
Bourgogne-Franche-Comté,100487.0,19.08,11.05,27.12
Normandie,129473.0,18.53,10.66,26.4
Hauts-de-France,247113.0,18.73,12.78,24.68
Grand Est,227719.0,17.46,8.86,26.06
Pays de la Loire,135024.0,22.75,15.45,30.05
Bretagne,105171.0,19.52,12.38,26.68
Nouvelle-Aquitaine,212605.0,22.25,15.82,28.68
Occitanie,189521.0,23.8,17.49,30.11
Auvergne-Rhône-Alpes,324377.0,20.0,12.75,27.25
Provence-Alpes-Côte d'Azur,215989.0,24.98,19.08,30.87
Île-de-France,298524.0,20.0,16.6,23.4
Centre-Val de Loire,87759.0,19.7,16.02,23.38
Bourgogne-Franche-Comté,98440.0,22.37,17.92,26.82
Normandie,122600.0,17.23,14.26,20.2
Hauts-de-France,235566.0,17.66,14.92,20.4
Grand Est,224651.0,20.54,16.31,24.78
Pays de la Loire,128544.0,20.05,16.1,24.0
Bretagne,103877.0,16.81,12.9,20.72
Nouvelle-Aquitaine,208998.0,20.56,17.19,23.94
Occitanie,193526.0,23.64,18.63,28.65
Auvergne-Rhône-Alpes,316505.0,23.28,16.11,30.45
Provence-Alpes-Côte d'Azur,202861.0,24.81,17.68,31.93
Île-de-France,269803.0,17.81,15.4,20.22
Centre-Val de Loire,68927.0,16.91,13.12,20.7
Bourgogne-Franche-Comté,86367.0,18.64,11.42,25.87
Normandie,112941.0,15.89,13.46,18.32
Hauts-de-France,215995.0,16.43,13.82,19.04
Grand Est,194441.0,18.54,11.9,25.18
Pays de la Loire,103466.0,16.65,13.3,20.0
Bretagne,92730.0,16.62,13.4,19.85
Nouvelle-Aquitaine,182590.0,18.04,13.57,22.5
Occitanie,165486.0,20.54,14.09,26.99
Auvergne-Rhône-Alpes,272249.0,18.87,11.09,26.65
Provence-Alpes-Côte d'Azur,195995.0,22.43,15.38,29.48
Île-de-France,276314.0,14.5,9.86,19.14
Centre-Val de Loire,74606.0,13.81,7.2,20.42
Bourgogne-Franche-Comté,86186.0,14.85,9.18,20.52
Normandie,118723.0,14.05,10.08,18.02
Hauts-de-France,208770.0,13.68,9.74,17.62
Grand Est,186332.0,14.05,8.91,19.19
Pays de la Loire,115069.0,14.18,7.35,21.0
Bretagne,94831.0,14.55,8.83,20.28
Nouvelle-Aquitaine,198673.0,16.7,10.42,22.98
Occitanie,173309.0,19.47,13.63,25.32
Auvergne-Rhône-Alpes,273490.0,15.73,9.91,21.55
Provence-Alpes-Côte d'Azur,192077.0,21.94,16.95,26.93
Île-de-France,274951.0,15.61,11.5,19.72
Centre-Val de Loire,75720.0,14.52,10.83,18.2
Bourgogne-Franche-Comté,85030.0,14.91,10.05,19.77
Normandie,119464.0,15.64,12.04,19.24
Hauts-de-France,215102.0,15.85,11.66,20.04
Grand Est,189079.0,14.52,10.34,18.71
Pays de la Loire,113687.0,16.68,12.05,21.3
Bretagne,96970.0,16.16,12.9,19.42
Nouvelle-Aquitaine,192792.0,16.69,12.69,20.69
Occitanie,166192.0,16.89,11.74,22.05
Auvergne-Rhône-Alpes,274663.0,15.15,10.32,19.97
Provence-Alpes-Côte d'Azur,201195.0,22.03,17.43,26.63
Île-de-France,273337.0,17.25,11.32,23.18
Centre-Val de Loire,78113.0,16.82,10.23,23.42
Bourgogne-Franche-Comté,85760.0,18.12,11.23,25.02
Normandie,114491.0,15.77,9.72,21.82
Hauts-de-France,209853.0,16.45,11.32,21.58
Grand Est,191629.0,17.75,11.36,24.14
Pays de la Loire,112188.0,17.0,10.3,23.7
Bretagne,96110.0,15.94,10.6,21.28
Nouvelle-Aquitaine,195285.0,18.15,11.95,24.36
Occitanie,178681.0,21.4,15.88,26.91
Auvergne-Rhône-Alpes,281433.0,19.1,12.83,25.37
Provence-Alpes-Côte d'Azur,202630.0,23.8,17.78,29.82
Île-de-France,249591.0,21.99,18.04,25.94
Centre-Val de Loire,67970.0,22.18,17.7,26.65
Bourgogne-Franche-Comté,79219.0,22.17,17.43,26.9
Normandie,103838.0,20.56,16.96,24.16
Hauts-de-France,196470.0,21.04,18.0,24.08
Grand Est,178719.0,22.24,17.99,26.49
Pays de la Loire,98638.0,21.33,17.55,25.1
Bretagne,85910.0,19.23,16.65,21.8
Nouvelle-Aquitaine,179342.0,21.5,18.1,24.9
Occitanie,174141.0,24.05,19.54,28.55
Auvergne-Rhône-Alpes,255891.0,22.19,17.26,27.12
Provence-Alpes-Côte d'Azur,214066.0,26.97,21.52,32.42
Île-de-France,300046.0,27.91,21.7,34.12
Centre-Val de Loire,81528.0,26.12,18.08,34.17
Bourgogne-Franche-Comté,87140.0,27.08,19.37,34.8
Normandie,111583.0,24.97,17.38,32.56
Hauts-de-France,208208.0,27.26,21.38,33.14
Grand Est,191027.0,26.96,19.52,34.39
Pays de la Loire,117570.0,27.55,20.0,35.1
Bretagne,97100.0,22.48,16.38,28.58
Nouvelle-Aquitaine,209532.0,26.49,21.33,31.65
Occitanie,193211.0,26.59,21.01,32.16
Auvergne-Rhône-Alpes,276649.0,26.5,17.99,35.02
Provence-Alpes-Côte d'Azur,206864.0,26.24,19.85,32.63
Île-de-France,259809.0,20.18,15.62,24.74
Centre-Val de Loire,77286.0,19.23,11.73,26.73
Bourgogne-Franche-Comté,84057.0,19.69,11.53,27.85
Normandie,110731.0,18.41,14.72,22.1
Hauts-de-France,207001.0,17.86,13.96,21.76
Grand Est,181527.0,19.15,12.56,25.74
Pays de la Loire,107884.0,18.58,12.5,24.65
Bretagne,100476.0,17.91,14.75,21.07
Nouvelle-Aquitaine,191886.0,21.2,14.65,27.76
Occitanie,175356.0,23.6,15.78,31.42
Auvergne-Rhône-Alpes,268633.0,21.04,12.34,29.74
Provence-Alpes-Côte d'Azur,200783.0,24.91,17.73,32.08
Île-de-France,292236.0,19.55,12.14,26.96
Centre-Val de Loire,74758.0,17.78,8.87,26.7
Bourgogne-Franche-Comté,90816.0,20.18,11.88,28.48
Normandie,118880.0,18.15,11.72,24.58
Hauts-de-France,226336.0,18.53,11.72,25.34
Grand Est,204056.0,20.31,11.83,28.8
Pays de la Loire,105747.0,18.2,10.55,25.85
Bretagne,86470.0,19.21,16.0,22.42
Nouvelle-Aquitaine,182152.0,20.12,12.92,27.32
Occitanie,172277.0,23.67,17.3,30.04
Auvergne-Rhône-Alpes,287527.0,21.54,13.9,29.18
Provence-Alpes-Côte d'Azur,199085.0,25.2,19.33,31.07
Île-de-France,283408.0,14.22,9.24,19.2
Centre-Val de Loire,67565.0,14.63,9.33,19.93
Bourgogne-Franche-Comté,78373.0,13.9,8.73,19.07
Normandie,112613.0,14.15,9.62,18.68
Hauts-de-France,215242.0,14.13,9.52,18.74
Grand Est,186897.0,13.37,8.06,18.68
Pays de la Loire,99379.0,15.35,10.6,20.1
Bretagne,81558.0,14.8,11.35,18.25
Nouvelle-Aquitaine,170107.0,15.34,10.33,20.36
Occitanie,149066.0,16.17,11.61,20.74
Auvergne-Rhône-Alpes,268970.0,13.88,9.36,18.4
Provence-Alpes-Côte d'Azur,177645.0,17.31,11.93,22.68
Île-de-France,319029.0,19.64,13.96,25.32
Centre-Val de Loire,84059.0,19.9,12.17,27.63
Bourgogne-Franche-Comté,102680.0,19.58,9.72,29.43
Normandie,128986.0,17.66,11.58,23.74
Hauts-de-France,242215.0,17.32,12.56,22.08
Grand Est,220878.0,19.28,10.86,27.7
Pays de la Loire,126764.0,19.12,12.1,26.15
Bretagne,101270.0,17.88,12.9,22.85
Nouvelle-Aquitaine,201459.0,20.65,14.6,26.71
Occitanie,176834.0,22.55,16.39,28.7
Auvergne-Rhône-Alpes,318331.0,21.15,12.52,29.79
Provence-Alpes-Côte d'Azur,193045.0,23.13,16.73,29.53
Île-de-France,318499.0,16.11,9.42,22.8
Centre-Val de Loire,86386.0,16.0,8.7,23.3
Bourgogne-Franche-Comté,106929.0,14.86,7.17,22.55
Normandie,132116.0,14.68,8.28,21.08
Hauts-de-France,242614.0,15.31,9.36,21.26
Grand Est,230335.0,14.07,6.64,21.5
Pays de la Loire,131133.0,17.45,11.95,22.95
Bretagne,106098.0,15.48,10.95,20.0
Nouvelle-Aquitaine,203206.0,16.64,11.38,21.91
Occitanie,177735.0,14.71,12.08,17.34
Auvergne-Rhône-Alpes,321978.0,14.32,8.49,20.15
Provence-Alpes-Côte d'Azur,191564.0,15.77,12.85,18.68
Île-de-France,312615.0,21.14,15.82,26.46
Centre-Val de Loire,84531.0,21.23,14.22,28.23
Bourgogne-Franche-Comté,99854.0,20.43,12.53,28.33
Normandie,127503.0,19.56,15.52,23.6
Hauts-de-France,241199.0,19.27,15.54,23.0
Grand Est,219955.0,19.68,13.85,25.5
Pays de la Loire,129143.0,21.52,15.85,27.2
Bretagne,107540.0,18.11,14.75,21.48
Nouvelle-Aquitaine,205982.0,22.72,16.86,28.58
Occitanie,177753.0,21.4,15.95,26.85
Auvergne-Rhône-Alpes,311395.0,20.67,13.51,27.83
Provence-Alpes-Côte d'Azur,191275.0,21.38,17.65,25.1
Île-de-France,310084.0,21.52,18.24,24.8
Centre-Val de Loire,83101.0,21.16,17.52,24.8
Bourgogne-Franche-Comté,102531.0,19.28,16.42,22.15
Normandie,124807.0,19.18,16.5,21.86
Hauts-de-France,244905.0,20.28,16.96,23.6
Grand Est,221091.0,19.47,16.25,22.7
Pays de la Loire,126239.0,21.08,17.95,24.2
Bretagne,104965.0,18.56,16.28,20.85
Nouvelle-Aquitaine,204187.0,20.42,16.69,24.15
Occitanie,174272.0,21.21,17.2,25.22
Auvergne-Rhône-Alpes,313141.0,19.68,15.58,23.77
Provence-Alpes-Côte d'Azur,198409.0,21.76,17.78,25.73
Île-de-France,405572.0,8.73,2.84,14.62
Centre-Val de Loire,98148.0,7.78,0.25,15.32
Bourgogne-Franche-Comté,121991.0,6.54,-0.08,13.17
Normandie,152051.0,8.82,3.2,14.44
Hauts-de-France,282154.0,8.93,3.72,14.14
Grand Est,264226.0,6.93,1.1,12.76
Pays de la Loire,143440.0,11.4,5.0,17.8
Bretagne,114517.0,10.6,4.4,16.8
Nouvelle-Aquitaine,219257.0,10.44,3.84,17.03
Occitanie,186087.0,11.3,4.97,17.64
Auvergne-Rhône-Alpes,371709.0,6.43,0.75,12.11
Provence-Alpes-Côte d'Azur,202672.0,13.22,8.1,18.35
Île-de-France,366316.0,14.85,12.76,16.94
Centre-Val de Loire,93152.0,14.08,10.53,17.63
Bourgogne-Franche-Comté,117136.0,12.65,7.0,18.3
Normandie,145406.0,13.93,11.44,16.42
Hauts-de-France,269905.0,14.45,12.34,16.56
Grand Est,257103.0,12.23,8.01,16.44
Pays de la Loire,140500.0,15.2,13.55,16.85
Bretagne,113467.0,14.41,12.2,16.62
Nouvelle-Aquitaine,217642.0,15.43,10.3,20.57
Occitanie,178771.0,15.87,8.62,23.13
Auvergne-Rhône-Alpes,344884.0,13.03,6.54,19.53
Provence-Alpes-Côte d'Azur,188411.0,16.29,10.32,22.27
Île-de-France,350953.0,17.88,10.76,25.0
Centre-Val de Loire,88221.0,17.23,9.15,25.3
Bourgogne-Franche-Comté,112366.0,15.0,8.0,22.0
Normandie,139240.0,17.38,10.84,23.92
Hauts-de-France,262163.0,16.55,10.34,22.76
Grand Est,247236.0,14.62,6.9,22.34
Pays de la Loire,134896.0,18.58,13.45,23.7
Bretagne,108740.0,17.35,12.5,22.2
Nouvelle-Aquitaine,206763.0,18.52,13.73,23.31
Occitanie,178855.0,17.83,14.25,21.41
Auvergne-Rhône-Alpes,337691.0,15.02,10.14,19.9
Provence-Alpes-Côte d'Azur,184886.0,17.53,14.32,20.75
Île-de-France,367250.0,14.28,10.62,17.94
Centre-Val de Loire,93817.0,15.04,11.32,18.77
Bourgogne-Franche-Comté,116956.0,14.4,10.83,17.97
Normandie,140256.0,13.82,10.4,17.24
Hauts-de-France,267096.0,13.29,9.74,16.84
Grand Est,260646.0,12.86,8.84,16.88
Pays de la Loire,135707.0,15.58,11.4,19.75
Bretagne,113417.0,13.94,9.82,18.05
Nouvelle-Aquitaine,204184.0,15.64,11.1,20.18
Occitanie,175638.0,16.15,10.73,21.56
Auvergne-Rhône-Alpes,331566.0,12.98,8.24,17.72
Provence-Alpes-Côte d'Azur,190328.0,16.92,11.7,22.13
Île-de-France,323349.0,11.72,8.42,15.02
Centre-Val de Loire,90994.0,11.35,7.48,15.22
Bourgogne-Franche-Comté,99426.0,11.77,8.88,14.65
Normandie,131255.0,10.58,6.74,14.42
Hauts-de-France,240794.0,9.92,6.02,13.82
Grand Est,217001.0,11.14,7.86,14.41
Pays de la Loire,121298.0,12.12,8.25,16.0
Bretagne,104212.0,10.79,6.32,15.25
Nouvelle-Aquitaine,198328.0,13.84,10.74,16.93
Occitanie,168837.0,15.47,12.48,18.46
Auvergne-Rhône-Alpes,295741.0,11.47,8.64,14.31
Provence-Alpes-Côte d'Azur,181947.0,15.39,10.08,20.7
Île-de-France,311941.0,11.99,6.42,17.56
Centre-Val de Loire,79274.0,10.99,3.83,18.15
Bourgogne-Franche-Comté,95598.0,10.18,3.48,16.88
Normandie,120010.0,12.12,6.86,17.38
Hauts-de-France,235622.0,11.26,5.78,16.74
Grand Est,203195.0,9.39,2.21,16.58
Pays de la Loire,101813.0,12.45,6.1,18.8
Bretagne,87267.0,14.45,10.35,18.55
Nouvelle-Aquitaine,183629.0,13.82,8.21,19.43
Occitanie,156392.0,15.43,11.12,19.74
Auvergne-Rhône-Alpes,295843.0,11.52,7.21,15.84
Provence-Alpes-Côte d'Azur,179549.0,15.23,10.68,19.78
Île-de-France,482617.0,8.38,6.38,10.38
Centre-Val de Loire,122041.0,9.54,7.63,11.45
Bourgogne-Franche-Comté,148092.0,7.98,6.33,9.63
Normandie,182162.0,9.21,6.78,11.64
Hauts-de-France,333480.0,7.76,5.5,10.02
Grand Est,306395.0,7.21,5.17,9.24
Pays de la Loire,175125.0,10.92,8.2,13.65
Bretagne,145271.0,11.21,9.22,13.2
Nouvelle-Aquitaine,275504.0,11.16,8.74,13.58
Occitanie,242782.0,10.54,7.84,13.25
Auvergne-Rhône-Alpes,451315.0,6.6,4.73,8.48
Provence-Alpes-Côte d'Azur,268772.0,8.46,3.1,13.82
Île-de-France,445880.0,10.33,7.76,12.9
Centre-Val de Loire,121813.0,8.67,5.68,11.67
Bourgogne-Franche-Comté,145566.0,5.06,1.67,8.45
Normandie,170651.0,11.28,8.54,14.02
Hauts-de-France,317881.0,10.79,8.52,13.06
Grand Est,301045.0,6.47,3.32,9.61
Pays de la Loire,171542.0,11.25,8.85,13.65
Bretagne,142786.0,11.23,8.68,13.78
Nouvelle-Aquitaine,283927.0,9.21,5.1,13.32
Occitanie,254576.0,8.25,4.35,12.16
Auvergne-Rhône-Alpes,432575.0,5.94,3.28,8.6
Provence-Alpes-Côte d'Azur,253837.0,9.13,4.6,13.67
Île-de-France,382410.0,11.56,10.52,12.6
Centre-Val de Loire,96888.0,11.78,10.08,13.47
Bourgogne-Franche-Comté,111727.0,11.65,8.53,14.77
Normandie,148032.0,11.83,9.72,13.94
Hauts-de-France,278473.0,11.53,10.0,13.06
Grand Est,240184.0,10.25,7.26,13.24
Pays de la Loire,137933.0,13.1,10.6,15.6
Bretagne,118064.0,12.29,9.75,14.82
Nouvelle-Aquitaine,236008.0,13.06,10.03,16.08
Occitanie,203622.0,12.53,7.75,17.3
Auvergne-Rhône-Alpes,342432.0,12.65,8.85,16.44
Provence-Alpes-Côte d'Azur,201989.0,14.62,11.98,17.25
Île-de-France,415331.0,6.28,5.24,7.32
Centre-Val de Loire,107007.0,7.12,4.5,9.73
Bourgogne-Franche-Comté,114365.0,5.15,1.08,9.22
Normandie,160352.0,6.6,4.82,8.38
Hauts-de-France,276674.0,6.04,3.24,8.84
Grand Est,252574.0,3.24,-1.1,7.58
Pays de la Loire,154645.0,7.0,3.95,10.05
Bretagne,133357.0,8.55,5.75,11.35
Nouvelle-Aquitaine,256727.0,7.68,4.69,10.68
Occitanie,218002.0,8.02,4.7,11.35
Auvergne-Rhône-Alpes,347786.0,5.51,1.55,9.47
Provence-Alpes-Côte d'Azur,235914.0,7.82,3.4,12.23
Île-de-France,364308.0,13.0,11.58,14.42
Centre-Val de Loire,103934.0,12.81,10.28,15.33
Bourgogne-Franche-Comté,118070.0,11.21,6.92,15.5
Normandie,153053.0,11.78,9.26,14.3
Hauts-de-France,271202.0,11.7,9.44,13.96
Grand Est,262370.0,9.71,5.32,14.09
Pays de la Loire,149809.0,12.52,9.35,15.7
Bretagne,126792.0,12.91,10.28,15.55
Nouvelle-Aquitaine,228510.0,13.56,9.93,17.18
Occitanie,187856.0,13.87,9.98,17.76
Auvergne-Rhône-Alpes,352708.0,11.02,6.71,15.34
Provence-Alpes-Côte d'Azur,203100.0,13.65,8.45,18.85
Île-de-France,470137.0,4.62,0.04,9.2
Centre-Val de Loire,130142.0,4.47,-1.93,10.87
Bourgogne-Franche-Comté,142803.0,3.42,-0.83,7.68
Normandie,167503.0,8.29,3.12,13.46
Hauts-de-France,315953.0,6.35,1.72,10.98
Grand Est,300876.0,3.46,-1.96,8.88
Pays de la Loire,182102.0,5.58,-1.1,12.25
Bretagne,140111.0,10.69,8.0,13.38
Nouvelle-Aquitaine,291109.0,7.1,0.71,13.5
Occitanie,252044.0,7.1,3.78,10.42
Auvergne-Rhône-Alpes,427678.0,5.54,0.68,10.39
Provence-Alpes-Côte d'Azur,231720.0,14.66,10.58,18.73
Île-de-France,492689.0,4.57,1.3,7.84
Centre-Val de Loire,129747.0,4.36,-1.67,10.38
Bourgogne-Franche-Comté,147528.0,1.4,-4.35,7.06
Normandie,177065.0,7.46,3.22,11.7
Hauts-de-France,313665.0,6.85,3.24,10.46
Grand Est,294428.0,3.64,-2.08,9.35
Pays de la Loire,171097.0,4.9,1.75,8.05
Bretagne,128092.0,10.69,8.45,12.92
Nouvelle-Aquitaine,289012.0,7.69,1.62,13.76
Occitanie,248032.0,7.66,2.03,13.29
Auvergne-Rhône-Alpes,438658.0,4.03,-3.11,11.16
Provence-Alpes-Côte d'Azur,254947.0,8.53,3.22,13.85
Île-de-France,490796.0,5.56,0.74,10.38
Centre-Val de Loire,128012.0,6.95,1.75,12.15
Bourgogne-Franche-Comté,145528.0,5.0,-1.07,11.07
Normandie,184054.0,6.35,2.26,10.44
Hauts-de-France,331473.0,5.26,0.44,10.08
Grand Est,294140.0,3.75,-1.48,8.98
