Région,Consommation (MW),TMoy (°C),TMin (°C),TMax (°C)
Bretagne,186111.0,5.32,3.0,7.65
Nouvelle-Aquitaine,320171.0,8.02,5.06,10.97
Occitanie,284440.0,9.0,5.24,12.76
Auvergne-Rhône-Alpes,484685.0,5.88,3.73,8.04
Provence-Alpes-Côte d'Azur,297462.0,8.14,5.82,10.47
Île-de-France,397639.0,12.59,11.12,14.06
Centre-Val de Loire,104013.0,12.96,11.05,14.87
Bourgogne-Franche-Comté,118740.0,11.33,8.57,14.1
Normandie,157543.0,11.0,9.24,12.76
Hauts-de-France,286102.0,10.7,9.2,12.2
Grand Est,250133.0,11.44,9.82,13.06
Pays de la Loire,148407.0,12.77,11.35,14.2
Bretagne,128657.0,11.71,9.88,13.55
Nouvelle-Aquitaine,236442.0,13.0,10.44,15.55
Occitanie,221232.0,11.2,5.52,16.88
Auvergne-Rhône-Alpes,378461.0,9.35,4.95,13.75
Provence-Alpes-Côte d'Azur,244896.0,9.54,5.77,13.32
Île-de-France,442800.0,8.78,7.58,9.98
Centre-Val de Loire,126922.0,10.52,8.92,12.13
Bourgogne-Franche-Comté,132636.0,9.7,7.88,11.52
Normandie,179230.0,8.79,6.92,10.66
Hauts-de-France,326572.0,6.14,4.34,7.94
Grand Est,286873.0,7.65,4.94,10.36
Pays de la Loire,176647.0,11.3,10.0,12.6
Bretagne,148036.0,11.06,9.52,12.6
Nouvelle-Aquitaine,282302.0,11.5,10.4,12.6
Occitanie,246019.0,11.03,8.99,13.07
Auvergne-Rhône-Alpes,424105.0,8.66,7.16,10.16
Provence-Alpes-Côte d'Azur,254005.0,9.33,6.38,12.27
Île-de-France,534162.0,4.44,-0.84,9.72
Centre-Val de Loire,146451.0,3.88,-1.8,9.57
Bourgogne-Franche-Comté,156011.0,2.32,-3.07,7.72
Normandie,202509.0,5.67,1.36,9.98
Hauts-de-France,359503.0,4.2,-1.0,9.4
Grand Est,322102.0,2.12,-3.31,7.56
Pays de la Loire,206627.0,5.8,0.55,11.05
Bretagne,163181.0,7.78,4.2,11.35
Nouvelle-Aquitaine,324486.0,6.0,0.32,11.68
Occitanie,270278.0,6.57,1.18,11.96
Auvergne-Rhône-Alpes,477052.0,3.6,-1.15,8.35
Provence-Alpes-Côte d'Azur,274311.0,9.1,4.7,13.5
Île-de-France,498004.0,8.37,5.34,11.4
Centre-Val de Loire,137418.0,8.57,5.7,11.43
Bourgogne-Franche-Comté,150436.0,6.9,3.87,9.93
Normandie,195179.0,8.03,4.58,11.48
Hauts-de-France,338404.0,7.34,4.74,9.94
Grand Est,311667.0,6.78,3.55,10.01
Pays de la Loire,195115.0,10.18,7.3,13.05
Bretagne,159886.0,9.51,6.95,12.08
Nouvelle-Aquitaine,288708.0,9.97,5.14,14.8
Occitanie,252723.0,8.49,1.76,15.22
Auvergne-Rhône-Alpes,452672.0,5.67,1.84,9.5
Provence-Alpes-Côte d'Azur,259916.0,8.02,2.12,13.92
Île-de-France,642431.0,-1.13,-4.8,2.54
Centre-Val de Loire,167937.0,2.51,-3.12,8.13
Bourgogne-Franche-Comté,179069.0,0.38,-3.57,4.33
Normandie,251342.0,-1.66,-4.6,1.28
Hauts-de-France,407721.0,-2.25,-5.74,1.24
Grand Est,367983.0,-2.34,-6.0,1.32
Pays de la Loire,255532.0,1.9,-3.15,6.95
Bretagne,223443.0,1.54,-3.1,6.18
Nouvelle-Aquitaine,358947.0,7.14,-0.17,14.46
Occitanie,319344.0,7.46,2.77,12.15
Auvergne-Rhône-Alpes,536871.0,3.78,-1.96,9.52
Provence-Alpes-Côte d'Azur,349322.0,3.29,0.03,6.55
Île-de-France,415887.0,10.03,8.58,11.48
Centre-Val de Loire,119209.0,9.86,8.28,11.43
Bourgogne-Franche-Comté,134298.0,9.14,8.2,10.08
Normandie,174420.0,9.45,8.06,10.84
Hauts-de-France,311382.0,8.46,7.58,9.34
Grand Est,277876.0,8.32,7.18,9.48
Pays de la Loire,169032.0,9.98,7.3,12.65
Bretagne,136844.0,10.14,6.72,13.55
Nouvelle-Aquitaine,253406.0,10.43,7.09,13.77
Occitanie,219490.0,11.11,6.99,15.23
Auvergne-Rhône-Alpes,401584.0,8.81,5.89,11.73
Provence-Alpes-Côte d'Azur,233971.0,12.72,8.08,17.35
Île-de-France,434739.0,5.6,1.86,9.34
Centre-Val de Loire,125097.0,7.74,4.55,10.93
Bourgogne-Franche-Comté,113994.0,9.64,5.98,13.3
Normandie,173681.0,6.17,3.72,8.62
Hauts-de-France,297626.0,6.62,4.46,8.78
Grand Est,245706.0,8.32,4.59,12.06
Pays de la Loire,162453.0,7.07,4.25,9.9
Bretagne,137552.0,7.44,4.3,10.58
Nouvelle-Aquitaine,245416.0,10.11,6.78,13.44
Occitanie,203992.0,11.11,6.69,15.54
Auvergne-Rhône-Alpes,352672.0,9.25,5.48,13.02
Provence-Alpes-Côte d'Azur,241786.0,11.1,8.07,14.13
Île-de-France,424578.0,7.67,1.72,13.62
Centre-Val de Loire,122374.0,8.86,0.78,16.93
Bourgogne-Franche-Comté,128727.0,7.17,-1.28,15.62
Normandie,172971.0,7.4,1.3,13.5
Hauts-de-France,297471.0,6.73,1.22,12.24
Grand Est,267220.0,5.81,-2.07,13.7
Pays de la Loire,167525.0,9.57,2.4,16.75
Bretagne,147007.0,8.04,1.67,14.4
Nouvelle-Aquitaine,254199.0,10.58,3.98,17.19
Occitanie,215592.0,10.81,5.22,16.4
Auvergne-Rhône-Alpes,390988.0,8.73,0.02,17.44
Provence-Alpes-Côte d'Azur,231551.0,9.86,3.15,16.57
Île-de-France,466203.0,7.8,3.6,12.0
Centre-Val de Loire,119047.0,6.82,1.75,11.88
Bourgogne-Franche-Comté,130191.0,6.68,5.1,8.27
Normandie,175695.0,7.05,0.62,13.48
Hauts-de-France,309340.0,7.02,2.06,11.98
Grand Est,289375.0,6.18,4.29,8.07
Pays de la Loire,178408.0,7.22,-0.5,14.95
Bretagne,142763.0,6.96,0.8,13.12
Nouvelle-Aquitaine,265754.0,8.44,3.78,13.1
Occitanie,228027.0,8.52,6.11,10.94
Auvergne-Rhône-Alpes,394195.0,6.65,5.14,8.17
Provence-Alpes-Côte d'Azur,223902.0,13.08,10.77,15.4
Île-de-France,327245.0,12.94,8.76,17.12
Centre-Val de Loire,85175.0,11.74,7.67,15.82
Bourgogne-Franche-Comté,99803.0,11.44,8.73,14.15
Normandie,132233.0,11.72,7.56,15.88
Hauts-de-France,244472.0,11.67,8.56,14.78
Grand Est,211443.0,11.83,8.42,15.24
Pays de la Loire,123962.0,12.48,8.55,16.4
Bretagne,103477.0,11.18,8.2,14.15
Nouvelle-Aquitaine,211556.0,10.88,7.88,13.88
Occitanie,183094.0,10.7,7.86,13.54
Auvergne-Rhône-Alpes,321033.0,9.33,7.13,11.53
Provence-Alpes-Côte d'Azur,211814.0,10.7,8.85,12.55
Île-de-France,400451.0,8.56,5.76,11.36
Centre-Val de Loire,104110.0,8.22,3.97,12.48
Bourgogne-Franche-Comté,113878.0,8.23,4.93,11.53
Normandie,164420.0,7.91,5.22,10.6
Hauts-de-France,270540.0,6.99,4.94,9.04
Grand Est,236211.0,6.98,4.46,9.5
Pays de la Loire,157099.0,7.65,2.9,12.4
Bretagne,138681.0,5.74,1.18,10.3
Nouvelle-Aquitaine,246301.0,9.06,2.48,15.64
Occitanie,212551.0,9.42,2.65,16.19
Auvergne-Rhône-Alpes,366876.0,8.02,3.48,12.55
Provence-Alpes-Côte d'Azur,222021.0,10.5,5.77,15.23
Île-de-France,366466.0,13.8,6.8,20.8
Centre-Val de Loire,96785.0,13.0,4.4,21.6
Bourgogne-Franche-Comté,114334.0,12.95,4.78,21.12
Normandie,151030.0,11.15,6.0,16.3
Hauts-de-France,273545.0,11.13,4.84,17.42
Grand Est,242789.0,11.8,4.19,19.41
Pays de la Loire,144295.0,14.48,8.2,20.75
Bretagne,118252.0,12.02,6.98,17.08
Nouvelle-Aquitaine,221214.0,13.07,7.42,18.71
Occitanie,206546.0,12.85,6.1,19.61
Auvergne-Rhône-Alpes,351334.0,11.85,2.94,20.76
Provence-Alpes-Côte d'Azur,217616.0,12.72,5.82,19.62
Île-de-France,371322.0,6.75,0.64,12.86
