Date,Région,Consommation (MW),TMoy (°C)
01/02/2020,Centre-Val de Loire,104013.0,12.96
01/02/2020,Bourgogne-Franche-Comté,118740.0,11.33
01/02/2020,Normandie,157543.0,11.0
01/02/2020,Hauts-de-France,286102.0,10.7
01/02/2020,Grand Est,250133.0,11.44
01/02/2020,Pays de la Loire,148407.0,12.77
01/02/2020,Bretagne,128657.0,11.71
01/02/2020,Nouvelle-Aquitaine,236442.0,13.0
01/02/2020,Occitanie,221232.0,11.2
01/02/2020,Auvergne-Rhône-Alpes,378461.0,9.35
01/02/2020,Provence-Alpes-Côte d'Azur,244896.0,9.54
01/02/2021,Île-de-France,442800.0,8.78
01/02/2021,Centre-Val de Loire,126922.0,10.52
01/02/2021,Bourgogne-Franche-Comté,132636.0,9.7
01/02/2021,Normandie,179230.0,8.79
01/02/2021,Hauts-de-France,326572.0,6.14
01/02/2021,Grand Est,286873.0,7.65
01/02/2021,Pays de la Loire,176647.0,11.3
01/02/2021,Bretagne,148036.0,11.06
01/02/2021,Nouvelle-Aquitaine,282302.0,11.5
01/02/2021,Occitanie,246019.0,11.03
01/02/2021,Auvergne-Rhône-Alpes,424105.0,8.66
01/02/2021,Provence-Alpes-Côte d'Azur,254005.0,9.33
01/03/2016,Île-de-France,534162.0,4.44
01/03/2016,Centre-Val de Loire,146451.0,3.88
01/03/2016,Bourgogne-Franche-Comté,156011.0,2.32
01/03/2016,Normandie,202509.0,5.67
01/03/2016,Hauts-de-France,359503.0,4.2
01/03/2016,Grand Est,322102.0,2.12
01/03/2016,Pays de la Loire,206627.0,5.8
01/03/2016,Bretagne,163181.0,7.78
01/03/2016,Nouvelle-Aquitaine,324486.0,6.0
01/03/2016,Occitanie,270278.0,6.57
01/03/2016,Auvergne-Rhône-Alpes,477052.0,3.6
01/03/2016,Provence-Alpes-Côte d'Azur,274311.0,9.1
01/03/2017,Île-de-France,498004.0,8.37
01/03/2017,Centre-Val de Loire,137418.0,8.57
01/03/2017,Bourgogne-Franche-Comté,150436.0,6.9
01/03/2017,Normandie,195179.0,8.03
01/03/2017,Hauts-de-France,338404.0,7.34
01/03/2017,Grand Est,311667.0,6.78
01/03/2017,Pays de la Loire,195115.0,10.18
01/03/2017,Bretagne,159886.0,9.51
01/03/2017,Nouvelle-Aquitaine,288708.0,9.97
01/03/2017,Occitanie,252723.0,8.49
01/03/2017,Auvergne-Rhône-Alpes,452672.0,5.67
01/03/2017,Provence-Alpes-Côte d'Azur,259916.0,8.02
01/03/2018,Île-de-France,642431.0,-1.13
01/03/2018,Centre-Val de Loire,167937.0,2.51
01/03/2018,Bourgogne-Franche-Comté,179069.0,0.38
01/03/2018,Normandie,251342.0,-1.66
01/03/2018,Hauts-de-France,407721.0,-2.25
01/03/2018,Grand Est,367983.0,-2.34
01/03/2018,Pays de la Loire,255532.0,1.9
01/03/2018,Bretagne,223443.0,1.54
01/03/2018,Nouvelle-Aquitaine,358947.0,7.14
01/03/2018,Occitanie,319344.0,7.46
01/03/2018,Auvergne-Rhône-Alpes,536871.0,3.78
01/03/2018,Provence-Alpes-Côte d'Azur,349322.0,3.29
01/03/2019,Île-de-France,415887.0,10.03
01/03/2019,Centre-Val de Loire,119209.0,9.86
01/03/2019,Bourgogne-Franche-Comté,134298.0,9.14
01/03/2019,Normandie,174420.0,9.45
01/03/2019,Hauts-de-France,311382.0,8.46
01/03/2019,Grand Est,277876.0,8.32
01/03/2019,Pays de la Loire,169032.0,9.98
01/03/2019,Bretagne,136844.0,10.14
01/03/2019,Nouvelle-Aquitaine,253406.0,10.43
01/03/2019,Occitanie,219490.0,11.11
01/03/2019,Auvergne-Rhône-Alpes,401584.0,8.81
01/03/2019,Provence-Alpes-Côte d'Azur,233971.0,12.72
01/03/2020,Île-de-France,434739.0,5.6
01/03/2020,Centre-Val de Loire,125097.0,7.74
01/03/2020,Bourgogne-Franche-Comté,113994.0,9.64
01/03/2020,Normandie,173681.0,6.17
01/03/2020,Hauts-de-France,297626.0,6.62
01/03/2020,Grand Est,245706.0,8.32
01/03/2020,Pays de la Loire,162453.0,7.07
01/03/2020,Bretagne,137552.0,7.44
01/03/2020,Nouvelle-Aquitaine,245416.0,10.11
01/03/2020,Occitanie,203992.0,11.11
01/03/2020,Auvergne-Rhône-Alpes,352672.0,9.25
01/03/2020,Provence-Alpes-Côte d'Azur,241786.0,11.1
01/03/2021,Île-de-France,424578.0,7.67
01/03/2021,Centre-Val de Loire,122374.0,8.86
01/03/2021,Bourgogne-Franche-Comté,128727.0,7.17
01/03/2021,Normandie,172971.0,7.4
01/03/2021,Hauts-de-France,297471.0,6.73
01/03/2021,Grand Est,267220.0,5.81
01/03/2021,Pays de la Loire,167525.0,9.57
01/03/2021,Bretagne,147007.0,8.04
01/03/2021,Nouvelle-Aquitaine,254199.0,10.58
01/03/2021,Occitanie,215592.0,10.81
01/03/2021,Auvergne-Rhône-Alpes,390988.0,8.73
01/03/2021,Provence-Alpes-Côte d'Azur,231551.0,9.86
01/04/2016,Île-de-France,466203.0,7.8
01/04/2016,Centre-Val de Loire,119047.0,6.82
01/04/2016,Bourgogne-Franche-Comté,130191.0,6.68
01/04/2016,Normandie,175695.0,7.05
01/04/2016,Hauts-de-France,309340.0,7.02
01/04/2016,Grand Est,289375.0,6.18
01/04/2016,Pays de la Loire,178408.0,7.22
01/04/2016,Bretagne,142763.0,6.96
01/04/2016,Nouvelle-Aquitaine,265754.0,8.44
01/04/2016,Occitanie,228027.0,8.52
01/04/2016,Auvergne-Rhône-Alpes,394195.0,6.65
01/04/2016,Provence-Alpes-Côte d'Azur,223902.0,13.08
01/04/2017,Île-de-France,327245.0,12.94
01/04/2017,Centre-Val de Loire,85175.0,11.74
01/04/2017,Bourgogne-Franche-Comté,99803.0,11.44
01/04/2017,Normandie,132233.0,11.72
01/04/2017,Hauts-de-France,244472.0,11.67
01/04/2017,Grand Est,211443.0,11.83
01/04/2017,Pays de la Loire,123962.0,12.48
01/04/2017,Bretagne,103477.0,11.18
01/04/2017,Nouvelle-Aquitaine,211556.0,10.88
01/04/2017,Occitanie,183094.0,10.7
01/04/2017,Auvergne-Rhône-Alpes,321033.0,9.33
01/04/2017,Provence-Alpes-Côte d'Azur,211814.0,10.7
01/04/2018,Île-de-France,400451.0,8.56
01/04/2018,Centre-Val de Loire,104110.0,8.22
01/04/2018,Bourgogne-Franche-Comté,113878.0,8.23
01/04/2018,Normandie,164420.0,7.91
01/04/2018,Hauts-de-France,270540.0,6.99
01/04/2018,Grand Est,236211.0,6.98
01/04/2018,Pays de la Loire,157099.0,7.65
